145.255.14.140	r1---sn-045oxu-045s.googlevideo.com
189.247.145.76	r1---sn-0opoxu-hutee.googlevideo.com
189.247.138.76	r1---sn-0opoxu-ihvz.googlevideo.com
189.247.28.76	r1---sn-0opoxu-jtfl.googlevideo.com
190.240.2.76	r1---sn-0ox-jube.googlevideo.com
176.122.113.76	r1---sn-0ub03g5pox-3c2s.googlevideo.com
62.122.200.140	r1---sn-0ux5h03g-p4ve.googlevideo.com
94.142.38.76	r1---sn-15powv-5hhl.googlevideo.com
42.153.24.140	r1---sn-25j3xuvox-30ad.googlevideo.com
122.2.215.12	r1---sn-2aqu-hoaey.googlevideo.com
177.12.63.204	r1---sn-2gxqp5aoxu-bpbl.googlevideo.com
182.176.173.76	r1---sn-2uja-n3u6.googlevideo.com
118.98.99.44	r1---sn-2uuxa3vh-jb3y.googlevideo.com
46.36.26.76	r1---sn-3uxaxjvh-n8ml.googlevideo.com
170.150.100.236	r1---sn-42cg-ja8e.googlevideo.com
1.54.236.76	r1---sn-42u-8ube.googlevideo.com
42.114.77.76	r1---sn-42u-i5ole.googlevideo.com
42.117.10.76	r1---sn-42u-nbod.googlevideo.com
173.194.182.198	r1---sn-4g5e6nss.googlevideo.com
173.194.188.134	r1---sn-4g5ednsz.googlevideo.com
177.23.200.140	r1---sn-4i2cg-bpbe.googlevideo.com
193.160.224.44	r1---sn-4v2ap15oji03-vqne.googlevideo.com
41.206.47.12	r1---sn-53-ocve.googlevideo.com
41.201.164.140	r1---sn-5abxgpxuxaxjvh-5abs.googlevideo.com
41.110.42.12	r1---sn-5abxgpxuxaxjvh-9n4e.googlevideo.com
162.216.57.148	r1---sn-5aupjx0n5-pn2e.googlevideo.com
49.231.113.44	r1---sn-5fo-c33r.googlevideo.com
74.125.100.151	r1---sn-5hnedn7l.googlevideo.com
74.125.100.102	r1---sn-5hnekn7z.googlevideo.com
185.95.206.204	r1---sn-5np5jxaavvgxqvv-pn0e.googlevideo.com
61.91.16.204	r1---sn-5np5po4v-c33e6.googlevideo.com
61.91.160.76	r1---sn-5np5po4v-c33lk.googlevideo.com
197.231.126.12	r1---sn-5opo4-ac8e.googlevideo.com
170.233.121.204	r1---sn-5quxaxjvhcg-o5ue.googlevideo.com
173.194.29.87	r1---sn-5uaezn66.googlevideo.com
173.194.144.231	r1---sn-5ualdn7r.a1.googlevideo.com
194.9.25.44	r1---sn-5uh5o-f5fz.googlevideo.com
168.232.148.140	r1---sn-8p85cg-h84e.googlevideo.com
62.255.45.140	r1---sn-8pgbpohxqp5-h5oz.googlevideo.com
195.239.248.236	r1---sn-8ph2xajvh-3i8l.googlevideo.com
171.255.206.172	r1---sn-8pxuuxa-j5ie.googlevideo.com
125.234.50.12	r1---sn-8pxuuxa-nboed.googlevideo.com
125.234.51.204	r1---sn-8pxuuxa-nboll.googlevideo.com
203.113.162.172	r1---sn-8pxuuxa-q5qe7.googlevideo.com
113.171.19.204	r1---sn-8qj-8j5l.googlevideo.com
113.171.232.204	r1---sn-8qj-8ppl.googlevideo.com
113.171.204.76	r1---sn-8qj-i5olr.googlevideo.com
113.171.193.12	r1---sn-8qj-qape.googlevideo.com
210.143.70.76	r1---sn-9uoxu-403s.googlevideo.com
203.233.126.12	r1---sn-ab02a0nfpgxapox-jwwz.googlevideo.com
173.194.31.183	r1---sn-ab5l6nzy.googlevideo.com
173.194.61.7	r1---sn-ab5szn7r.a1.googlevideo.com
200.175.224.76	r1---sn-b8u-cncz.googlevideo.com
177.99.179.76	r1---sn-b8u-jfcl.googlevideo.com
177.55.16.12	r1---sn-c5oq5a5gb5-cnce.googlevideo.com
182.79.138.12	r1---sn-ci5gup-25ul.googlevideo.com
182.79.143.76	r1---sn-ci5gup-itqs.googlevideo.com
90.223.244.76	r1---sn-cn3tc-aige.googlevideo.com
114.31.31.76	r1---sn-cqjvh-q5jl.googlevideo.com
86.57.205.172	r1---sn-cxauxaxjvh-hn9r.googlevideo.com
86.57.205.204	r1---sn-cxauxaxjvh-hn9y.googlevideo.com
122.252.245.12	r1---sn-g5pauxapo-qxae.googlevideo.com
146.115.22.140	r1---sn-gjo-cvnl.googlevideo.com
87.226.176.204	r1---sn-gvnuxaxjvh-88vs.googlevideo.com
49.44.86.204	r1---sn-gwpa-h55d.googlevideo.com
189.218.235.12	r1---sn-h0auphxqpvn-huty.googlevideo.com
177.129.248.140	r1---sn-h5mjvhhcg-8j2e.googlevideo.com
202.75.135.204	r1---sn-h5mpn-30ay.googlevideo.com
197.80.135.12	r1---sn-hfxc-wocl.googlevideo.com
173.194.147.23	r1---sn-hp57knll.googlevideo.com
212.88.109.44	r1---sn-huo-xccl.googlevideo.com
179.189.22.44	r1---sn-huuxacg-jfce.googlevideo.com
188.170.167.108	r1---sn-hxb54vo-p3ul.googlevideo.com
186.15.250.76	r1---sn-j5caxupj5-nt9e.googlevideo.com
24.116.134.76	r1---sn-j5caxvox-45ge.googlevideo.com
160.3.24.44	r1---sn-j5caxvox-cvpl.googlevideo.com
62.45.60.108	r1---sn-j5pfqpxonuxo-guhl.googlevideo.com
61.19.1.204	r1---sn-j5u-c33k.googlevideo.com
159.192.0.172	r1---sn-j5u-iqtl.googlevideo.com
186.26.123.204	r1---sn-ja5gvjg-nwve.googlevideo.com
181.48.254.76	r1---sn-ja5gvjv-cvbl.googlevideo.com
50.86.17.76	r1---sn-jn2pgx4pcxg-w5ol.googlevideo.com
201.16.134.76	r1---sn-jucj-0qpl.googlevideo.com
191.242.179.172	r1---sn-jvoxjucg-nn5e.googlevideo.com
200.79.184.12	r1---sn-mu0gcvcg-8j2l.googlevideo.com
66.76.34.12	r1---sn-n0qqxoapo3-apue.googlevideo.com
191.5.47.140	r1---sn-n4vmcg-jo4e.googlevideo.com
27.2.199.12	r1---sn-n5pbvoj5caxu8-i5ol.googlevideo.com
173.194.163.147	r1---sn-n8v7kn7e.googlevideo.com
173.194.163.211	r1---sn-n8v7kn7l.googlevideo.com
185.169.222.12	r1---sn-nh5guac-cxte.googlevideo.com
203.117.35.44	r1---sn-nu5gi0c-npoee.googlevideo.com
113.197.108.44	r1---sn-nu5goxu-cqve.googlevideo.com
62.149.105.204	r1---sn-nuj-g0ied.googlevideo.com
74.125.153.55	r1---sn-nv47ln7l.googlevideo.com
200.9.26.44	r1---sn-nxg8uxjcg-j28e.googlevideo.com
173.194.12.87	r1---sn-o097znlr.a1.googlevideo.com
173.194.49.38	r1---sn-oguelnl7.googlevideo.com
163.53.140.76	r1---sn-ov8vjvh-q5jl.googlevideo.com
178.49.157.12	r1---sn-ov8vuxaxjvh-v8cl.googlevideo.com
200.107.255.236	r1---sn-oxqxuxa-0pve.googlevideo.com
95.164.49.44	r1---sn-oxu5nnpnu-px8l.googlevideo.com
194.90.196.140	r1---sn-oxu8pnpvo-i45s.googlevideo.com
187.106.140.12	r1---sn-oxunxg8pjvn-nw3e7.googlevideo.com
91.192.7.236	r1---sn-oxuuxjip9-vnhe.googlevideo.com
103.105.65.140	r1---sn-p4vguxpq-jb3l.googlevideo.com
190.94.176.204	r1---sn-pouxgoxm5-x1xe.googlevideo.com
213.133.184.12	r1---sn-puntnuxhn-3c2l.googlevideo.com
212.90.49.76	r1---sn-puu8-3c2l.googlevideo.com
173.194.141.135	r1---sn-q4f7sn7e.googlevideo.com
74.125.3.55	r1---sn-q4fl6n7s.googlevideo.com
172.217.131.6	r1---sn-q4flrner.a1.googlevideo.com
216.147.171.172	r1---sn-qjo-cpnl.googlevideo.com
62.24.158.140	r1---sn-u5a3u5a3-h5ok.googlevideo.com
163.28.116.12	r1---sn-u5oxu-uooe.googlevideo.com
181.199.158.12	r1---sn-u8n5-na5e.googlevideo.com
116.206.32.140	r1---sn-uigxxi0ujipnvo-cuwe.googlevideo.com
181.64.130.76	r1---sn-uqx2-aphl.googlevideo.com
45.64.76.12	r1---sn-uvuppb-c33s.googlevideo.com
206.248.169.108	r1---sn-ux3n588t-mjh6.googlevideo.com
216.123.194.76	r1---sn-uxa0n-txbe.googlevideo.com
114.125.2.12	r1---sn-uxa3vhnxa-230d.googlevideo.com
203.47.234.12	r1---sn-uxanug5-hxaee.googlevideo.com
200.164.29.108	r1---sn-uxaxh5g-85be.googlevideo.com
190.113.99.44	r1---sn-uxaxj5caxjg-nwvz.googlevideo.com
186.23.182.12	r1---sn-uxaxjxougv-x1xes.googlevideo.com
196.44.149.12	r1---sn-uxaxo5hpcp5-fqie.googlevideo.com
151.99.110.76	r1---sn-uxaxpu5ap5-o52l.googlevideo.com
200.28.12.108	r1---sn-uxgg5-1jvs.googlevideo.com
77.42.253.12	r1---sn-vbxgv-cxte.googlevideo.com
173.194.54.39	r1---sn-vgqs7nez.a1.googlevideo.com
173.194.54.247	r1---sn-vgqs7nl7.googlevideo.com
74.125.159.23	r1---sn-vgqs7nly.googlevideo.com
62.75.54.76	r1---sn-vuxbavcx-5uir.googlevideo.com
62.75.10.140	r1---sn-vuxbavcx-5uis.googlevideo.com
110.164.18.204	r1---sn-w5nuxa-2tmd.googlevideo.com
149.255.254.204	r1---sn-x5guiapo3uxax-cbfk.googlevideo.com
37.237.106.204	r1---sn-x5guiapo3uxax-ow4r.googlevideo.com
88.87.68.204	r1---sn-xguxaxjvh-8vbl.googlevideo.com
109.194.169.76	r1---sn-xguxaxjvh-uwhe.googlevideo.com
105.235.153.140	r1---sn-xhuxah0-hg0e.googlevideo.com
173.224.96.12	r1---sn-xun-p5ie.googlevideo.com
41.190.6.204	r1---sn-xupn5a5uob-5c8e.googlevideo.com
78.154.184.140	r1---sn-xuu-vqnl.googlevideo.com
189.247.152.204	r1.sn-0opoxu-bqak.googlevideo.com
189.247.28.12	r1.sn-0opoxu-jtfe.googlevideo.com
59.152.9.236	r1.sn-1p2oxucq-q5je.googlevideo.com
74.125.105.71	r1.sn-25ge7nse.googlevideo.com
122.2.215.204	r1.sn-2aqu-jbtz.googlevideo.com
216.254.140.204	r1.sn-2gph0nj5o-tt1s.googlevideo.com
96.31.1.12	r1.sn-2gxhpxg-qnhe.googlevideo.com
202.90.156.76	r1.sn-2iv2xopm-hoas.googlevideo.com
119.153.111.204	r1.sn-2uja-n3ue.googlevideo.com
118.98.105.76	r1.sn-2uuxa3vh-2ahl.googlevideo.com
36.92.237.76	r1.sn-2uuxa3vh-3ovs.googlevideo.com
118.98.97.12	r1.sn-2uuxa3vh-c2oe.googlevideo.com
